               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  83,            0.023594,           0.0094385,                   0,             0.84467,             0.82287,             0.86312,             0.58644,           0.0070523,           0.0004565,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.022987,           0.0095488,                   0,             0.87691,             0.84369,              0.8816,              0.5978,           0.0069121,          0.00044008,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.023034,           0.0090441,                   0,              0.8694,             0.85526,             0.87467,             0.59572,           0.0068924,          0.00043492,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.023368,            0.009576,                   0,             0.89208,             0.82895,             0.86951,             0.59908,           0.0068321,           0.0004508,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.023382,           0.0094959,                   0,             0.86268,             0.86842,             0.86693,             0.59281,           0.0069474,          0.00044518,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.022718,           0.0091989,                   0,             0.88909,             0.84381,             0.87728,             0.58834,           0.0070076,          0.00046881,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.022959,           0.0092746,                   0,             0.89296,             0.83553,             0.87587,             0.59025,           0.0069723,          0.00044303,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.022974,           0.0095182,                   0,             0.89084,             0.85905,             0.88334,             0.59092,           0.0070297,          0.00044412,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.022626,           0.0089961,                   0,             0.89375,             0.88158,             0.89049,             0.60173,           0.0070343,          0.00042022,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.022535,           0.0091183,                   0,             0.88057,             0.87311,             0.89546,             0.60219,           0.0069409,          0.00041685,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.022254,           0.0091815,                   0,             0.86162,             0.90121,             0.89686,             0.60373,           0.0069232,          0.00042631,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.022136,           0.0090918,                   0,             0.87615,             0.86842,             0.88903,             0.60074,           0.0069191,          0.00041703,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.022055,           0.0086935,                   0,             0.89097,             0.86842,             0.88549,             0.59873,           0.0069112,          0.00044932,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.022078,           0.0091684,                   0,             0.89382,             0.86842,             0.88948,             0.59503,           0.0069524,          0.00045032,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.021995,           0.0091153,                   0,              0.8788,             0.85868,             0.88263,             0.59526,           0.0069747,          0.00043874,                   0,            0.000496,            0.000496,            0.000496
                  98,             0.02161,           0.0089044,                   0,             0.88406,             0.85283,              0.8869,             0.59385,            0.006905,          0.00046757,                   0,            0.000397,            0.000397,            0.000397
                  99,             0.02165,           0.0090252,                   0,              0.8841,             0.85316,             0.88723,             0.59678,           0.0068869,          0.00045434,                   0,            0.000298,            0.000298,            0.000298
